Country,Image,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,https://www.countryflags.io/AR/shiny/64.png,1988.0,4272.0,6558.0,8912.0,11159.0,13299.0,15250.0,17434,19664,21905,24109,26338,28522,30869,33292,36066,39198,42360,45649,48770,51828,54936,57882,60941,63825,66768,69680,72928,75915,79146,82219.0,82219.0,,86300.0
Australia,https://www.countryflags.io/AU/shiny/64.png,1861.0,3905.0,6069.0,8241.0,10307.0,12509.0,14797.0,17048,19086,21369,23539,25965,28611,31243,33731,36122,38580,40899,43055,45169,45169,47286,49515,51856,54193,56613,59005,61585,64193,67084,70111.0,70111.0,71498.0,74785.0
Austria,https://www.countryflags.io/AT/shiny/64.png,2091.0,4230.0,6299.0,8150.0,10048.0,11873.0,13642.0,15401,17105,18881,20669,22448,24040,25599,27154,28742,30231,31784,33240,34662,36061,37358,38643,39910,41188,42452,43740,45016,46307,47621,48872.0,50073.0,,51460.0
Belarus,https://www.countryflags.io/BY/shiny/64.png,,,,,,2085.0,4254.0,6678,9563,12716,15919,19546,23072,26628,30025,33508,36811,40102,43558,43558,43558,43558,46217,48875,51618,54077,56249,56249,58151,59892,59892.0,59892.0,62269.0,64746.0
Belgium,https://www.countryflags.io/BE/shiny/64.png,2281.0,4483.0,6721.0,8717.0,10637.0,12532.0,14337.0,16215,18357,20488,22643,24656,26802,28821,30678,32821,34986,37062,39153,41140,43169,45104,46961,48960,50973,52986,55074,57100,58995,60894,62761.0,62761.0,,65138.0
Brazil,https://www.countryflags.io/BR/shiny/64.png,4228.0,8499.0,13171.0,17637.0,22100.0,26903.0,32059.0,37266,42774,48670,55206,61904,68795,75717,82224,88987,96697,104394,112233,120228,128757,137375,146230,155414,164760,174189,184011,194306,204819,215450,226613.0,226613.0,,240229.0
Bulgaria,https://www.countryflags.io/BG/shiny/64.png,1456.0,2864.0,4356.0,5808.0,7268.0,8591.0,9975.0,11494,12964,14428,15861,17387,18852,20355,21662,23045,24359,25676,26768,27781,28763,29740,30642,31581,32449,33308,34071,34943,35664,36388,,,,37199.0
Canada,https://www.countryflags.io/CA/shiny/64.png,3258.0,6928.0,10519.0,14029.0,17520.0,20898.0,24491.0,28199,32002,35750,39718,43659,47340,51039,55113,58719,62413,66063,69828,73441,77184,80696,84307,88012,91902,95853,99581,103507,107561,107561,107561.0,107561.0,109546.0,114180.0
Chile,https://www.countryflags.io/CL/shiny/64.png,683.0,1337.0,2030.0,2727.0,3452.0,4195.0,4982.0,5640,6380,7181,8111,9028,9938,10969,12010,13483,15108,16711,18365,20100,21782,23577,25425,27513,29661,31662,33689,35530,37268,39057,40895.0,,,42880.0
Colombia,https://www.countryflags.io/CO/shiny/64.png,1001.0,1959.0,2910.0,3822.0,4653.0,5518.0,6528.0,7614,8699,9897,11047,12256,13498,15550,17693,20051,22463,24842,27111,29355,31457,33634,35815,38035,40284,42391,44435,46554,48622,50748,53080.0,,,56656.0
Cuba,https://www.countryflags.io/CU/shiny/64.png,,,,,,,,2299,4673,6951,9173,11187,13216,15272,17322,19167,20819,22425,23924,25439,26836,28212,29519,30896,32373,33931,35460,36955,38454,39907,41418.0,,,42994.0
Czech Republic,https://www.countryflags.io/CZ/shiny/64.png,,,,,,1997.0,3901.0,5892,7809,9681,11414,12982,14648,16261,17871,19520,21143,22677,24396,25979,27544,28944,30323,31702,33166,34668,36258,37916,39493,40982,42369.0,43687.0,,
Finland,https://www.countryflags.io/FI/shiny/64.png,,,1363.0,2765.0,4178.0,5690.0,7183.0,8634,10031,11418,12806,14053,15375,16603,17810,18975,20179,21274,22349,23413,24407,25469,26464,27497,28531,29485,30397,31270,32157,32946,33677.0,33677.0,45180.0,46058.0
France,https://www.countryflags.io/FR/shiny/64.png,12501.0,25030.0,37191.0,48790.0,60505.0,71908.0,83410.0,95054,107305,119346,131165,142444,153583,164117,174385,185234,195683,206326,217197,228001,238714,249137,259264,269617,280116,290495,300903,310646,320246,329127,,,,340630.0
Germany,https://www.countryflags.io/DE/shiny/64.png,,,,,,13924.0,27934.0,41392,54082,66800,79688,91913,104169,115823,126983,138056,149223,160399,171554,182295,192565,202340,211749,221208,230787,240817,250970,260866,270957,281174,291262.0,,,302567.0
Hungary,https://www.countryflags.io/HU/shiny/64.png,,,,,,,3993.0,7993,11687,15312,18678,22114,25322,28567,31893,35162,38140,40979,43779,46521,49140,51601,54051,56527,58987,61476,63896,66245,68337,70262,72130.0,73891.0,,75745.0
Italy,https://www.countryflags.io/IT/shiny/64.png,4759.0,9450.0,13966.0,18347.0,22689.0,27091.0,31544.0,36087,40784,45320,49889,54578,59272,63776,67891,71999,76029,80098,84173,88159,91901,95601,99358,103262,107236,111225,115378,119635,123925,128072,132060.0,,,137031.0
Japan,https://www.countryflags.io/JP/shiny/64.png,23257.0,48741.0,72404.0,95080.0,116093.0,136095.0,155875.0,176631,196984,217728,238977,260944,284224,315682,346797,376786,405918,435633,467514,497548,527917,557686,588351,618424,648947,678358,707124,733462,759453,783810,806902.0,806902.0,811024.0,834556.0
Kazakhstan,https://www.countryflags.io/KZ/shiny/64.png,,,,,,3172.0,6254.0,9610,13629,17653,22359,27132,31774,36087,40078,44506,48883,53123,57444,61838,65741,69817,73958,77955,81793,85402,88803,92043,95555,98674,101546.0,,,105668.0
Mexico,https://www.countryflags.io/MX/shiny/64.png,1544.0,3258.0,4959.0,6662.0,8527.0,10453.0,12556.0,14793,17135,19723,22600,25608,28958,32270,35597,39053,42813,46639,50709,54765,59039,63269,67554,72196,77219,82077,87635,93016,98727,104905,111139.0,,,117575.0
Netherlands,https://www.countryflags.io/NL/shiny/64.png,1638.0,3242.0,4858.0,6381.0,7901.0,9351.0,10962.0,12549,14104,15688,17199,18776,20348,21867,23386,24887,26361,27931,29433,30947,32521,34046,35400,36839,38369,39973,41623,43379,45235,47074,48947.0,50833.0,,52983.0
Poland,https://www.countryflags.io/PL/shiny/64.png,,,,,,4970.0,10286.0,15999,21623,27142,32641,38087,38087,38087,43866,49707,55562,61487,67323,73395,79440,85245,90529,96211,102688,109045,115158,121526,127744,133678,139098.0,139098.0,140534.0,146677.0
Korea,https://www.countryflags.io/KR/shiny/64.png,3689.0,7147.0,10448.0,13397.0,16420.0,19579.0,22648.0,26181,30305,34517,39358,45215,51239,59808,66883,73327,80238,88849,99747,111239,123250,133903,146077,158935,174337,189895,205801,219960,234386,248220,261730.0,261730.0,263759.0,277524.0
